doc_id,timestamp,n_chunks,total_chars,chunk_time_s,embed_time_s,upsert_time_s,total_time_s,chars_per_s,ram_delta_mb,ram_peak_mb,vram_peak_mb,avg_sparse_tokens,status
relatorio_avaliacao-cmag-2019-defesa-agropecuaria,2026-07-22T16:39:19+00:00,278,446726,1.457,8.073,0.522,10.654,55338.8,3.5,4438.4,8.1,128.3,ok
relatorio_avaliacao-cmas-2020-pronaf,2026-07-22T16:39:30+00:00,375,720250,2.09,8.624,0.694,12.117,83519.1,4.4,4440.8,8.1,128.0,ok
relatorio_avaliacao-cmas-2020-leasing,2026-07-22T16:39:42+00:00,93,143065,0.395,7.399,0.162,8.348,19336.0,1.3,4442.1,8.1,128.2,ok
relatorio_avaliacao_fundoclima_atualizacao,2026-07-22T16:39:50+00:00,486,731380,2.06,8.822,0.796,12.429,82907.1,1.6,4441.7,8.1,126.6,ok
rfu-relatorio-de-avaliacao,2026-07-22T16:40:03+00:00,365,532282,1.362,8.274,0.693,10.834,64328.7,-2.1,4441.7,8.1,135.1,ok
relatorio_avaliacao_lie_atualizacao,2026-07-22T16:40:14+00:00,197,233830,0.696,7.723,0.369,9.256,30275.8,2.2,4441.8,8.1,112.1,ok
pronac_relatorio-de-avaliacao,2026-07-22T16:40:23+00:00,366,686536,2.107,8.517,0.642,11.999,80608.6,-0.1,4440.8,8.1,126.8,ok
parcela-isenta-irpf-aposentadoria-65-relatorio-de-avaliacao,2026-07-22T16:40:36+00:00,111,147885,0.351,7.439,0.222,8.408,19880.5,-0.7,4439.7,8.1,107.5,ok
proex_relatorio-de-avaliacao,2026-07-22T16:40:44+00:00,153,193100,0.502,7.546,0.255,8.762,25591.2,1.0,4438.0,8.1,117.7,ok
relatorio_avaliacao_ocp_atualizacao,2026-07-22T16:40:53+00:00,345,435651,1.1,8.143,0.678,10.434,53501.9,3.0,4440.1,8.1,114.3,ok
sasisus_relatorio-de-avaliacao,2026-07-22T16:41:04+00:00,371,492330,2.233,8.414,0.711,12.351,58515.3,0.2,4438.3,8.1,111.5,ok
relatorio_avaliacao-cmas-2019-fies,2026-07-22T16:41:16+00:00,159,258974,0.658,7.798,0.304,9.177,33209.4,2.0,4440.3,8.1,94.7,ok
relatorio_avaliacao-cmas-2020-cebas-saude,2026-07-22T16:41:26+00:00,222,345166,1.043,7.906,0.408,9.894,43656.2,1.0,4441.4,8.1,117.4,ok
ftra_relatorio-de-avaliacao,2026-07-22T16:41:36+00:00,156,313233,0.848,7.723,0.317,9.276,40560.3,3.6,4444.9,8.1,160.7,ok
desoneracao-cesta-basica-relatorio-de-avaliacao,2026-07-22T16:41:45+00:00,169,270531,1.487,7.768,0.323,10.209,34825.9,1.9,4444.8,8.1,119.8,ok
medicamentos-relatorio-de-avaliacao,2026-07-22T16:41:56+00:00,233,340216,1.013,7.928,0.494,9.957,42915.5,-0.9,4444.8,8.1,117.6,ok
relatorio_avaliacao-cmas-2019-cde,2026-07-22T16:42:06+00:00,191,279802,0.746,7.817,0.338,9.296,35796.2,1.0,4443.9,8.1,121.4,ok
despesas-educacao-irpf-relatorio-de-avaliacao,2026-07-29T20:15:12+00:00,257,277195,2.254,4.593,0.464,7.794,60356.4,330.4,2360.2,8.1,100.5,ok
rfepct-relatorio-de-avaliacao,2026-07-29T20:16:29+00:00,469,528639,2.835,5.957,0.877,10.209,88737.9,344.8,2377.2,8.1,115.1,ok
relatorio_avaliacao_ocp_atualizacao,2026-07-29T20:16:39+00:00,438,472267,1.287,10.544,0.779,13.071,44791.1,0.3,2370.4,8.1,109.4,ok
